"umoId","title","artistCreator","description","objectId","_id","photographer","people","appDate","isoDate","origDate","creationPlace","event","latitude","longitude","exhibition","labelTextEnglish","labelTextSpanish","locality","specimenNumber","commonName","scientificName","medium","copyright","creditLine","keyword","restrictionsForAccess","materialsReleaseRecd","permissionsRestrictions","sourceInstitution","infoStatus","institutionDesc","habitatDs","dsLocId","generalLocationDs","thenNowDs","internalNotes","","","","","thumbWidth","thumbHeight","thumbAspectRatio","expandedHeight","expandedWidth","expandedAspectRatio"
"","","","A wind farm in Ocotillo.","Ocotillo Wind Farm   Flickr - Michael Field","ds04002","Michael Field","","date-February 08, 2014","iso-2014-02-08","2014-Feb-08","Ocotillo, CA","","32.7416195","-116.0015195","Attic / Coast to Cactus","A wind farm in Ocotillo.","","","","","","","© Michael Field","Michael Field","wind farm, turbine","","","","","","","Desert","4","Imperial Valley","","https://www.flickr.com/photos/minkfink58/12416363725/in/set-72157644188225194","","","","","175","115","1.52174","1500","989","1.51668"
"","","","A geology fieldtrip to the Imperial Valley in the San Diego Natural History Museum.","SDHNM_Schwenkmeyer_006","ds04001","","","date-1954","iso-1954-00-00","1954","Ocotillo, CA","","32.7416195","-116.0015195","Attic / Coast to Cactus","A geology fieldtrip to the Imperial Valley in the San Diego Natural History Museum car.","","","","","","","© Dick Schwenkmeyer","Dick Schwenkmeyer","geology, museum","Crowdsourced Scan","","","","","","Desert","4","Imperial Valley","","Dick Schwenkmeyer/Verify about, location and date","","","","","175","111","1.57658","1500","952","1.57563"
"","","","Colorado River Aqueduct, Parker Dam, San Bernardino County, California.","382971pr Colorado River Aqueduct, , Parker Dam, San Bernardino County, CA 1998","ds03005","","","date-1920","iso-1920-00-00","1920","Parker Dam","","34.2964037","-114.1396694","Attic / Coast to Cactus","Colorado River Aqueduct, Parker Dam, San Bernardino County, California.","","","","","","","","Library of Congress","dam, river","Look in LOC ownership of image","","","","","","Desert","3","Colorado River","","LOC 382971pr/this could also go in the Mojave Desert album","","","","","175","126","1.38889","1500","1078","1.39147"
"","Burrowing Owl in Flight","","A burrowing owl swoops over its burrow in the Cibola National Wildlife Refuge","Cibola-NWR-AZ-CA-7-1","ds03004","George Gentry","","date-2010","iso-2010-00-00","2010","Cibola National Wildlife Refuge, CA","","33.313519","-114.702418","Attic / Coast to Cactus","A burrowing owl swoops over its burrow in the Cibola National Wildlife Refuge.","","","","","","","Public Domain","U.S. Fish and Wildlife Service","burrowing owl","none","","","","","","Riparian","3","Colorado River","","http://digitalmedia.fws.gov/cdm/singleitem/collection/natdiglib/id/12357/rec/6","","","","","175","116","1.50862","1500","998","1.50301"
"","Havasu National Wildlife Refuge","","Along the banks of the Colorado River, bordering Arizona and California sits Havasu NWR. Extremely popular for water recreation, the refuge hosts some 500,000 visitors a year and is host to over 297 species of birds such as herons, pelicans, and grebes.","0290DCB7-D3D8-4801-9230510B8192205E","ds03003","Rorabaugh, Jim","","date-April 18, 2008","iso-2008-04-18","2008-Apr-18","Havasu National Wildlife Refuge, CA and AZ","","34.837","-114.620306","Attic / Coast to Cactus","Along the banks of the Colorado River, bordering Arizona and California, sits Havasu National Wildlife Refuge. It hosts nearly 300 species of birds such as herons, pelicans and grebes.","","","","","","","Public Domain","U.S. Fish and Wildlife Service","river","none","","","","","","Riparian","3","Colorado River","","http://digitalmedia.fws.gov/cdm/singleitem/collection/natdiglib/id/4483/rec/144","","","","","175","140","1.25","1500","1200","1.25"
"","Colorado River","","Colorado River","6382041347_52192e078b_o","ds03002","Punk Toad","","date-November 18, 2011","iso-2011-11-18","2011-Nov-18","Needles, CA","","34.825366","-114.6120665","Attic / Coast to Cactus","The Colorado River.","","","","","","","(CC) Punk Toad,  Creative Commons 2.0 License","Punk Toad","river","https://creativecommons.org/licenses/by/2.0/","https://creativecommons.org/licenses/by/2.0/","","","","","Desert","3","Colorado River","","https://www.flickr.com/photos/punktoad/6382041347","","","","","175","130","1.34615","1500","1113","1.34771"
"","","","San Diego Natural History Museum workers preparing specimens near Bard, California: from left to right: Professor Gallegos, Mrs. May Canfield, and Laurence Huey.","Preparing specimens near Bard CA","ds03001","","Professor Gallegos, Mrs. May Canfield, and Laurence Huey","date-1924","iso-1924-00-00","1924","Bard, CA","","32.7892112","-114.5560618","Attic / Coast to Cactus","San Diego Natural History Museum workers preparing specimens near Bard, California: from left to right: Professor Gallegos, Mrs. May Canfield, and Laurence Huey.","","","","","","","© San Diego Natural History Museum","San Diego Natural History Museum","collection, museum","Need to obtain the original page from the library or Piction","","","","","","Desert","3","Colorado River","","SDNHM Library Rare Book Album Page ?","","","","","175","112","1.5625","1500","961","1.56087"
"","Male white-beasted nuthatch in oak","","A male White-breasted nuthatch creeps down an oak tree at the Laguna Mountain Visitor Center.","SBard_Male White-breasted Nuthatch in oak","ds02042","Susanne Clara Bard","","date-September 2014, 21","iso-21-09-2014","21-Sep-2014","Mt. Laguna, CA","","32.8675816","-116.4211777","Attic / Coast to Cactus","A male White-breasted nuthatch creeps down an oak tree at the Laguna Mountain Visitor Center.","","","","","","","© Susanne Clara Bard","Susanne Clara Bard","Laguna, bird","Staff","Need release","","","","","Mountains","2","Cleveland National Forest","","","","","","","175","112","1.5625","1500","958","1.56576"
"","Female Acorn Woodpecker in oak","","A female Acorn Woodpecker in an oak tree in Laguna Campground.","SBard_Female Acorn Woodpecker in oak 2","ds02041","Susanne Clara Bard","","date-September 2015, 20","iso-20-09-2015","20-Sep-2015","Laguna Campground, CA","","32.8872723","-116.4472387","Attic / Coast to Cactus","A female Acorn Woodpecker in an oak tree in Laguna Campground.","","","","","","","© Susanne Clara Bard","Susanne Clara Bard","Laguna, bird","Staff","Need release","","","","","Mountains","2","Cleveland National Forest","","","","","","","175","123","1.42276","1500","1051","1.42721"
"","Female Acorn Woodpecker","","Female acorn woodpecker at Laguna Campground.","SBard_Female Acorn Woodpecker","ds02040","Susanne Clara Bard","","date-September 2014, 20","iso-20-09-2014","20-Sep-2014","Laguna Campground, CA","","32.8872723","-116.4472387","Attic / Coast to Cactus","Dripping water faucets at Laguna Campground provide a precious oasis for mountain birds like this female Acorn Woodpecker.","","","","","","","© Susanne Clara Bard","Susanne Clara Bard","Laguna, bird","Staff","Need release","","","","","Mountains","2","Cleveland National Forest","","","","","","","175","136","1.28676","1500","1164","1.28866"
"","Fire damage","","We first visited the Laguna mountains in 2013, soon after moving to San Diego. Not long after that, fire ravaged the same areas we had visited, including where the Pacific Crest Trail meets up with Highway S1 at the overlook above Anza-Borrego. I came back in 2014 to take this picture.","SBard_Laguna Vista after 2013 fire June 1 2014","ds02039","Susanne Clara Bard","","date-2014","iso-2014-00-00","2014","Laguna Mountains, CA","","32.8528282","-116.6158525","Attic / Coast to Cactus","We visited the Laguna Mountains in 2013. Not long after that, fire ravaged the area, including where the Pacific Crest Trail meets Highway S1 at the desert overlook.","","","","","","","© Susanne Clara Bard","Susanne Clara Bard","fire, Laguna","Staff","Need release","","","","","Mountains","2","Cleveland National Forest","NOW2","Susanne Clara Bard","","","","","175","103","1.69903","1500","883","1.69875"
"","Lake Cuyamaca","","Lake Cuyamaca","8169786935_2eb562c679_o","ds02038","Michael Field","","date-May 08, 2008","iso-2008-05-08","2008-May-08","Lake Cuyamaca, CA","","32.986832","-116.583345","Attic / Coast to Cactus","Lake Cuyamaca.","","","","","","","© Michael Field","© Michael Field","lake, hike","Staff","","Need release","","","","Mountains","2","Cleveland National Forest","","https://www.flickr.com/photos/minkfink58/8169786935/in/set-72157630548870258","","","","","175","116","1.50862","1500","998","1.50301"
"","Hesperoyucca whipplei","","Hesperoyucca whipplei","WS000226_R","ds02037","Joe Barth","","date-June 12, 2011","iso-2011-06-12","2011-Jun-12","Laguna Junction, CA","","32.8094954","-116.5125171","Attic / Coast to Cactus","Chaparral Yucca, Hesperoyucca whipplei.","","","","","","","© San Diego Natural History Museum","San Diego Natural History Museum","flower","","","","","","","Mountains","2","Cleveland National Forest","","http://sdplantatlas.org/SD_SelectedPhotoDisplay.aspx?n=12439","","","","","175","131","1.33588","1500","1125","1.33333"
"","Golden-Bowl Mariposa Lily","","Golden-Bowl Mariposa Lily, Calochortus concolor","KB00544_R","ds02036","Ken Bowles","","date-May 05, 2004","iso-2004-05-05","2004-May-05","Descanso, CA","","32.8528282","-116.6158525","Attic / Coast to Cactus","Golden-Bowl Mariposa Lily, Calochortus concolor.","","","","","","","© San Diego Natural History Museum","San Diego Natural History Museum","flower","","","","","","","Mountains","2","Cleveland National Forest","","http://sdplantatlas.org/SD_SelectedPhotoDisplay.aspx?n=3826","","","","","175","131","1.33588","1500","1125","1.33333"
"","Desert overlook","","Mountains overlooking the Borrego desert before the 2013 Laguna fire.","SBard_PacificCrestTrail01","ds02035","Susanne Clara Bard","","date-2013","iso-2013-00-00","2013","Laguna Mountains, CA","","32.8528282","-116.6158525","Attic / Coast to Cactus","We visited the Laguna Mountains in 2013. Not long after that, fire ravaged the area, including where the Pacific Crest Trail meets Highway S1 at the desert overlook.","","","","","","Digital photograph","© Susanne Clara Bard","© Susanne Clara Bard","fire, Laguna","Staff","","","","","","Mountains","2","Cleveland National Forest","THEN2","Susanne Clara Bard/possible ""then"" photo","","","","","175","103","1.69903","1500","885","1.69492"
"","Pacific Crest Trail","","Max and Toby on the Pacific Crest Trail before the 2013 Laguna fire.","SBard_PacificCrestTrail2013_02","ds02034","Susanne Clara Bard","","date-2013","iso-2013-00-00","2013","Laguna Mountains, CA","","32.8528282","-116.6158525","Attic / Coast to Cactus","Max and Toby on the Pacific Crest Trail before the 2013 Laguna Fire.","","","","","","Digital photograph","© Susanne Clara Bard","© Susanne Clara Bard","hike","Staff","","Need release","","","","Mountains","2","Cleveland National Forest","","Susanne Clara Bard","","","","","105","175","0.6","902","1500","0.601333"
"","Lupin","","A lupine on a little hike in the woods near Laguna Meadows.","SBard_Lupine Mt Laguna2014","ds02033","Susanne Clara Bard","","date-2014","iso-2014-00-00","2014","Laguna Mountains, CA","","32.8528282","-116.6158525","Attic / Coast to Cactus","A lupin on a little hike in the woods near Laguna Meadows.","","","","","","Digital photograph","© Susanne Clara Bard","© Susanne Clara Bard","flower","Staff","","Need release","","","","Mountains","2","Cleveland National Forest","","Susanne Clara Bard","","","","","131","175","0.748571","1125","1500","0.75"
"","Garnet Peak","","Noa and Zoe Kaufhold and C. Paul Majors at Garnet Peak.","SDNHM_MajorsCPaul_006","ds02032","","","date-2010","iso-2010-00-00","2010","Garnet Peak, Laguna Mountains, CA","","32.9256025","-116.458072","Attic / Coast to Cactus","Noa and Zoe Kaufhold and C. Paul Majors at Garnet Peak.","","","","","","","© C. Paul Majors","© C. Paul Majors","hike","Crowdsourced Scan","","","","","","Mountains","2","Cleveland National Forest","","C. Paul Majors","","","","","175","123","1.42276","1500","1058","1.41777"
"","Hiking to Three Sisters Falls","","Noa and Zoe Kaufhold and C. Paul Majors sitting on a rock during a hike to Three Sisters Falls.","SDNHM_MajorsCPaul_005","ds02031","","","date-2009","iso-2009-00-00","2009","Three Sisters Falls, CA","","32.971054","-116.688326","Attic / Coast to Cactus","Noa and Zoe Kaufhold and C. Paul Majors sitting on a rock during a hike to Three Sisters Falls.","","","","","","","© C. Paul Majors","© C. Paul Majors","hike","Crowdsourced Scan","","","","","","Mountains","2","Cleveland National Forest","","C. Paul Majors","","","","","175","131","1.33588","1500","1121","1.33809"
"","Hiking to Three Sisters Falls","","Noa and Zoe Kaufhold and C. Paul Majors hiking to Three Sisters Falls.","SDNHM_MajorsCPaul_004","ds02030","","","date-2009","iso-2009-00-00","2009","Three Sisters Falls, CA","","32.971054","-116.688326","Attic / Coast to Cactus","Noa and Zoe Kaufhold and C. Paul Majors hiking to Three Sisters Falls.","","","","","","","© C. Paul Majors","© C. Paul Majors","hike","Crowdsourced Scan","","","","","","Mountains","2","Cleveland National Forest","","C. Paul Majors","","","","","132","175","0.754286","1128","1500","0.752"
"","Camping at Laguna Mountain","","Camping at Laguna Mountain.","SDHNM_UriA_003","ds02029","","","date-1992","iso-1992-00-00","1992","Laguna Mountains, CA","","32.8803338","-116.4213936","Attic / Coast to Cactus","Camping at Laguna Mountain.","","","","","","","© Ann Uri","© Ann Uri","camp","Crowdsourced Scan","","","","","","Mountains","2","Cleveland National Forest","","Ann Uri","","","","","175","114","1.53509","1500","974","1.54004"
"","Laguna Mountain meadow","","My grandkids in Laguna Mountain meadow.","SDHNM_UriA_002","ds02028","","","date-1992","iso-1992-00-00","1992","Laguna Mountains, CA","","32.8803338","-116.4213936","Attic / Coast to Cactus","My grandkids in Laguna Mountain meadow.","","","","","","","© Ann Uri","© Ann Uri","Laguna","Crowdsourced Scan","","","","","","Mountains","2","Cleveland National Forest","","Ann Uri","","","","","175","120","1.45833","1500","1030","1.45631"
"","Camp Wolahi","","Here are us Camp Fire girls at Camp Wolahi. The camp burned down during the Cedar Fire of 2003 and has not been rebuilt.","SDHNM_Randerson_007","ds02027","","","date-1945","iso-1945-00-00","1945","Lake Cuyamaca, CA","","32.986832","-116.583345","Attic / Coast to Cactus","Here we are, Camp Fire Girls at Camp Wolahi. The camp burned down during the Cedar Fire of 2003 and has not been rebuilt.","","","","","","","© Sue Randerson","© Sue Randerson","camp","Crowdsourced Scan","","","","","","Mountains","2","Cleveland National Forest","","Sue Randerson","","","","","175","131","1.33588","1500","1121","1.33809"
"","Camp Wolahi","","My first time away from home was camping at Camp Wolahi in Cuyamaca.","SDHNM_Randerson_006","ds02026","","","date-1945","iso-1945-00-00","1945","Lake Cuyamaca, CA","","32.986832","-116.583345","Attic / Coast to Cactus","My first time away from home was camping at Camp Wolahi in Cuyamaca.","","","","","","","© Sue Randerson","© Sue Randerson","camp","Crowdsourced Scan","","","","","","Mountains","2","Cleveland National Forest","","Sue Randerson","","","","","175","139","1.25899","1500","1195","1.25523"
"","Family hike","","My dad, Wig Fletcher, leading his family on a hike to the top of Stonewall Peak in Cuyamaca. It was steep but the view was great!","SDHNM_Randerson_003","ds02025","","","date-1978","iso-1978-00-00","1978","Stonewall Peak, Cuyamaca, CA","","32.9608805","-116.5714077","Attic / Coast to Cactus","My dad, Wig Fletcher, leading his family on a hike to the top of Stonewall Peak in Cuyamaca.  It was steep but the view was great!","","","","","","","© Sue Randerson","© Sue Randerson","hike","Crowdsourced Scan","","","","","","Mountains","2","Cleveland National Forest","","Sue Randerson","","","","","175","124","1.41129","1500","1063","1.4111"
"","Skiing","","A group of us friends went cross-country skiing in the backcountry mountains. I had rented my skis and poles and was a real novice, especially when coming down the hills between the trees. Finally it was time for lunch. Tom Stump and I found a rock to sit on while I snapped this photo. Soon he offered it to his girlfriend who later became his intrepid wife - always off doing ""outdoorsy""-type activities even now, 42 years later.","SDHNM_HahnH_002","ds02024","Heidi Hahn","","date-1972","iso-1972-00-00","1972","Laguna Mountains, CA","","32.8803338","-116.4213936","Attic / Coast to Cactus","A group of us went cross-country skiing in the backcountry mountains.  I was a real novice, especially when coming down the hills between the trees.  Finally it was time for lunch. Tom Stump and I found a rock to sit on while I snapped this photo.","","","","","","","© Heidi Hahn","© Heidi Hahn","ski","Crowdsourced Scan","","","","","","Mountains","2","Cleveland National Forest","","Heidi Hahn","","","","","121","175","0.691429","1041","1500","0.694"
"","Fire damage","","We first visited the Laguna mountains in 2013, soon after moving to San Diego. Not long after that, fire ravaged the same areas we had visited, including where the Pacific Crest Trail meets up with Highway S1 at the overlook above Anza-Borrego. I came back in 2014 to take this picture.","SBard_Laguna Vista after 2013 fire June 1 2014","ds02023","Susanne Clara Bard","","date-2014","iso-2014-00-00","2014","Laguna Mountains, CA","","32.8803338","-116.4213936","Attic / Coast to Cactus","We first visited the Laguna Mountains in 2013, soon after moving to San Diego.  Not long after that, fire ravaged the areas we had visited, including where the Pacific Crest Trail meets Highway S1 at the desert overlook. I came back in 2014 to take this picture.","","","","","","","© Susanne Clara Bard","Susanne Clara Bard","fire, Laguna","Staff","Need release","","","","","Mountains","2","Cleveland National Forest","","Susanne Clara Bard","","","","","175","56","3.125","1500","484","3.09917"
"","Moon and pines","","The moon was hovering over the top of a pine tree near the end of our hike through Laguna Meadows.","SBard_tree moon Mt Laguna 2014","ds02022","Susanne Clara Bard","","date-2014","iso-2014-00-00","2014","Laguna Mountains, CA","","32.8803338","-116.4213936","Attic / Coast to Cactus","The moon was hovering over the top of a pine tree near the end of our hike through Laguna Meadows.","","","","","","Digital photograph","© Susanne Clara Bard","Susanne Clara Bard","pine, moon, tree","Staff","Need release","","","","","Mountains","2","Cleveland National Forest","","Susanne Clara Bard","","","","","124","175","0.708571","1059","1500","0.706"
"","Big Lake Laguna","","3-year-old Toby Vinje enjoying a hike by Big Lake Laguna during his brother's kindergarten camping trip.","SBard_Toby Lake Laguna 2014","ds02021","Susanne Clara Bard","","date-2014","iso-2014-00-00","2014","Laguna Mountains, CA","","32.8803338","-116.4213936","Attic / Coast to Cactus","3-year-old Toby Vinje enjoying a hike by Big Lake Laguna during his brother's kindergarten camping trip.","","","","","","Digital photograph","© Susanne Clara Bard","Susanne Clara Bard","lake, hike","Staff","Need release","","","","","Mountains","2","Cleveland National Forest","","Susanne Clara Bard","","","","","121","175","0.691429","1040","1500","0.693333"
"","Fort in the woods","","My family was hiking the Laguna Meadow loop trail when we came upon this little fort that someone had erected in the woods.","SBard_Toby fort Mt Laguna 2014","ds02020","Susanne Clara Bard","","date-2014","iso-2014-00-00","2014","Laguna Mountains, CA","","32.8803338","-116.4213936","Attic / Coast to Cactus","My family was hiking the Laguna Meadow loop trail when we came upon this little fort that someone had erected in the woods.","","","","","","Digital photograph","© Susanne Clara Bard","Susanne Clara Bard","Laguna","Staff","Need release","","","","","Mountains","2","Cleveland National Forest","","Susanne Clara Bard","","","","","131","175","0.748571","1125","1500","0.75"
"","Thistle","","A thistle near Big Laguna Lake during a dayhike.","SBard_Thistle Mt Laguna 2014","ds02019","Susanne Clara Bard","","date-2014","iso-2014-00-00","2014","Laguna Mountains, CA","","32.8803338","-116.4213936","Attic / Coast to Cactus","A thistle near Big Laguna Lake during a day hike.","","","","","","Digital photograph","© Susanne Clara Bard","Susanne Clara Bard","Laguna","Staff","Need release","","","","","Mountains","2","Cleveland National Forest","","Susanne Clara Bard","","","","","175","131","1.33588","1500","1125","1.33333"
"","Moon and meadow","","Moon over Laguna Meadow.","SBard_Mt Laguna Moon2014","ds02018","Susanne Clara Bard","","date-2014","iso-2014-00-00","2014","Laguna Mountains, CA","","32.8803338","-116.4213936","Attic / Coast to Cactus","Moon over Laguna Meadow.","","","","","","Digital photograph","© Susanne Clara Bard","Susanne Clara Bard","Laguna","Staff","Need release","","","","","Mountains","2","Cleveland National Forest","","Susanne Clara Bard","","","","","175","117","1.49573","1500","1001","1.4985"
"","Moon and pines","","Moon and pine trees during a family dayhike in Laguna Meadow.","SBard_Laguna Moon","ds02017","Susanne Clara Bard","","date-2014","iso-2014-00-00","2014","Laguna Mountains, CA","","32.8803338","-116.4213936","Attic / Coast to Cactus","Moon and pine trees during a family day hike in Laguna Meadow.","","","","","","Digital photograph","© Susanne Clara Bard","Susanne Clara Bard","Laguna","Staff","Need release","","","","","Mountains","2","Cleveland National Forest","","Susanne Clara Bard","","","","","175","131","1.33588","1500","1125","1.33333"
"","Acorns","","Acorns put there by the Acorn Woodpeckers that live in the Laguna Campground.","SBard_Acorns Mt Laguna 2014","ds02016","Susanne Clara Bard","","date-2014","iso-2014-00-00","2014","Laguna Mountains, CA","","32.8803338","-116.4213936","Attic / Coast to Cactus","Acorns in the tree were put there by the Acorn Woodpeckers that live at the Laguna Campground.","","","","","","Digital photograph","© Susanne Clara Bard","Susanne Clara Bard","acorn, Laguna","Staff","Need release","","","","","Mountains","2","Cleveland National Forest","","Susanne Clara Bard","","","","","131","175","0.748571","1125","1500","0.75"
"","Descanso store","","Hulburd Grove store Descanso","Hulburd Grove store Descanso","ds02015","","","date-1936","iso-1936-00-00","1936","Descanso, CA","","32.8528282","-116.6158525","Attic / Coast to Cactus","Hulburd Grove store at Descanso.","","","","","","","©  Phil Unitt","Phil Unitt","Descanso","Crowdsourced Scan","","","","","","Mountains","2","Cleveland National Forest","","Phil Unitt","","","","","175","111","1.57658","1500","950","1.57895"
"","Laguna by auto","","Group of people, automobile at a table in the Laguna Mountains.","S-379 Laguna Mts. - People with Automobiles - c. 1920","ds02014","#S-379","","date-1920","iso-1920-00-00","1920","Laguna Mountains, CA","","32.8803338","-116.4213936","Attic / Coast to Cactus","Group of people with an automobile at a table in the Laguna Mountains.","","","","","","","© San Diego History Center","San Diego History Center","Laguna","Need to purchase hi-res scan and permissions from SDHC","","","","","","Mountains","2","Cleveland National Forest","","http://www.sandiegohistory.org/photostore/?post_type=product&s=%22laguna%22+","","","","","175","140","1.25","1500","1200","1.25"
"","Camping by covered wagon","","SDNHM ornithologist Phil Unitt's ancestors took a camping trip to Descanso, now part of Cleveland National Forest, by covered wagon.","Camping trip by covered wagon 6","ds02013","","","date-1908","iso-1908-00-00","1908","Descanso, CA","","32.8528282","-116.6158525","Attic / Coast to Cactus","The ancestors of Phil Unitt, SDNHM Curator of Birds, took a camping trip to the Cuyamaca Mountains by covered wagon.","","","","","","","© Phil Unitt","Phil Unitt","Cleveland National Forest, Descanso, pioneers, camping","Crowdsourced Scan","","","","","","Mountains","2","Cleveland National Forest","","","","","","","143","175","0.817143","1228","1500","0.818667"
"","Camping by covered wagon","","Two girls (SDNHM ornithologist Phil Unitt's ancestors) on a camping trip to Descanso, now part of Cleveland National Forest, by covered wagon.","Camping trip by covered wagon 5","ds02012","","","date-1908","iso-1908-00-00","1908","Descanso, CA","","32.8528282","-116.6158525","Attic / Coast to Cactus","Two girls, including SDNHM Curator of Birds Phil Unitt's grandmother Gertude, on a camping trip to the Cuyamaca Mountains.  They traveled by covered wagon.","","","","","","","© Phil Unitt","Phil Unitt","Cleveland National Forest, Descanso, pioneers, camping","Crowdsourced Scan","","","","","","Mountains","2","Cleveland National Forest","","","","","","","128","175","0.731429","1097","1500","0.731333"
"","Camping by covered wagon","","SDNHM ornithologist Phil Unitt's ancestors took a camping trip to Descanso, now part of Cleveland National Forest, by covered wagon.","Camping trip by covered wagon 4","ds02011","","","date-1908","iso-1908-00-00","1908","Descanso, CA","","32.8528282","-116.6158525","Attic / Coast to Cactus","The ancestors of Phil Unitt, SDNHM Curator of Birds, took a camping trip to the Cuyamaca Mountains by covered wagon.","","","","","","","© Phil Unitt","Phil Unitt","Cleveland National Forest, Descanso, pioneers, camping","Crowdsourced Scan","","","","","","Mountains","2","Cleveland National Forest","","","","","","","147","175","0.84","1257","1500","0.838"
"","Camping by covered wagon","","SDNHM ornithologist Phil Unitt's ancestors took a camping trip to Descanso, now part of Cleveland National Forest, by covered wagon.","Camping trip by covered wagon 3","ds02010","","","date-1908","iso-1908-00-00","1908","Descanso, CA","","32.8528282","-116.6158525","Attic / Coast to Cactus","The ancestors of Phil Unitt, SDNHM Curator of Birds, took a camping trip to the Cuyamaca Mountains by covered wagon.","","","","","","","© Phil Unitt","Phil Unitt","Cleveland National Forest, Descanso, pioneers, camping","Crowdsourced Scan","","","","","","Mountains","2","Cleveland National Forest","","","","","","","175","127","1.37795","1500","1085","1.38249"
"","Camping by covered wagon","","SDNHM ornithologist Phil Unitt's ancestors took a camping trip to Descanso, now part of Cleveland National Forest, by covered wagon.","Camping trip by covered wagon 2","ds02009","","","date-1908","iso-1908-00-00","1908","Descanso, CA","","32.8528282","-116.6158525","Attic / Coast to Cactus","The ancestors of Phil Unitt, SDNHM Curator of Birds, took a camping trip to the Cuyamaca Mountains by covered wagon.","","","","","","","© Phil Unitt","Phil Unitt","Cleveland National Forest, Descanso, CA, pioneers, camping","Crowdsourced Scan","","","","","","Mountains","2","Cleveland National Forest","","","","","","","126","175","0.72","1080","1500","0.72"
"","Camping by covered wagon","","SDNHM ornithologist Phil Unitt's ancestors took a camping trip to Descanso, now part of Cleveland National Forest, by covered wagon.","Camping trip by covered wagon 1","ds02008","","","date-1908","iso-1908-00-00","1908","Descanso, CA","","32.8528282","-116.6158525","Attic / Coast to Cactus","The ancestors of Phil Unitt, SDNHM Curator of Birds, took a camping trip to the Cuyamaca Mountains by covered wagon.","","","","","","","© Phil Unitt","Phil Unitt","Cleveland National Forest, Descanso, pioneers, camping","Crowdsourced Scan","","","","","","Mountains","2","Cleveland National Forest","","","","","","","175","126","1.38889","1500","1077","1.39276"
"","Snow near Guatay","","Snow near Guatay, San Diego County.","A44_001 Snow near Guatay, San Diego County, Dec. 15, 1927","ds02007","","","date-December 15, 1927","iso-1927-12-15","1927-Dec-15","Near Guatay, CA","","32.8503829","-116.5623876","Attic / Coast to Cactus","Snow near Guatay, San Diego County.","","","","","","","© San Diego Natural History Museum","San Diego Natural History Museum","snow, Guatay","From album page scan","","","","","","Mountains","2","Cleveland National Forest","","SDNHM Library Rare Book Album Page A44_001","","","","","175","107","1.63551","1500","919","1.63221"
"","Cuyamaca Peak","","Descending trail from Cuyamaca Peak during San Diego Natural History Museum trip.","A13_001 Descending trail from Cuyamaca Peak A3419","ds02006","","","date-July 1923","iso-1923-07-00","1923-Jul","Cuyamaca Peak, CA","","32.9467149","-116.6064084","Attic / Coast to Cactus","Descending the trail from Cuyamaca Peak during a San Diego Natural History Museum trip.","","","","","","","© San Diego Natural History Museum","San Diego Natural History Museum"," San Diego Natural History Museum, Cuyamaca","From album page scan","","","","","","Mountains","2","Cleveland National Forest","","SDNHM Library Rare Book Album Page A13_001","","","","","134","175","0.765714","1148","1500","0.765333"
"","Cuyamaca Peak lookout","","Photo taken during San Diego Natural History Museum trip to Cuyamaca Peak lookout.","A12_001 Cuyamac Peak lookout","ds02005","","","date-July 1923","iso-1923-07-00","1923-Jul","Cuyamaca Peak, CA","","32.9467149","-116.6064084","Attic / Coast to Cactus","Photo taken during San Diego Natural History Museum trip to Cuyamaca Peak lookout.","","","","","","","© San Diego Natural History Museum","San Diego Natural History Museum"," San Diego Natural History Museum, Cuyamaca","From album page scan","","","","","","Mountains","2","Cleveland National Forest","","SDNHM Library Rare Book Album Page A12_001","","","","","135","175","0.771429","1154","1500","0.769333"
"","Flower collecting","","Mrs Abbott and Mrs. Woodcock at Mt. Laguna during a San Diego Natural History Museum flower collecting trip.","A7_001 Mrs Abbott and Mrs. Woodcock Mt Laguna","ds02004","","","date-July 1922","iso-1922-07-00","1922-Jul","Laguna Mountains, CA","","32.8803338","-116.4213936","Attic / Coast to Cactus","Mrs. Abbott and Mrs. Woodcock at Mt. Laguna during a San Diego Natural History Museum flower collecting trip.","","","","","","","© San Diego Natural History Museum","San Diego Natural History Museum"," San Diego Natural History Museum, Laguna, botany","From album page scan","","","","","","Mountains","2","Cleveland National Forest","","SDNHM Library Rare Book Album Page A7_001","","","","","175","135","1.2963","1500","1160","1.2931"
"","Acorn woodpecker tree","","Mrs. Fidelia G. Woodcock poses in front of an acorn woodpecker's tree at Mt. Laguna during a San Diego Natural History Museum  flower collecting trip.","A7_001 Laguna Mrs Woodcock acorns","ds02003","","","date-July 1922","iso-1922-07-00","1922-Jul","Laguna Mountains, CA","","32.8803338","-116.4213936","Attic / Coast to Cactus","Mrs. Fidelia G. Woodcock poses in front of an Acorn Woodpecker's tree at Mt. Laguna during a San Diego Natural History Museum flower collecting trip.","","","","","","","© San Diego Natural History Museum","San Diego Natural History Museum"," San Diego Natural History Museum, Laguna, botany","From album page scan","","","","","","Mountains","2","Cleveland National Forest","","SDNHM Library Rare Book Album Page A7_001","","","","","135","175","0.771429","1157","1500","0.771333"
